method,prediction_model,uncertainty_type,mean_sigma,median_sigma,corr_abs_error_sigma,coverage,mean_interval_width,median_interval_width
random_forest_tree_scatter,random_forest_classical,tree_prediction_std,0.017248853161646354,0.014918394754453964,0.5244118108620247,,,
quantile_boosting_iqr,quantile_boosting_median,q75_minus_q25,0.028867634296316037,0.024552590049439917,0.48199433076018405,0.87256,0.07361249585073748,0.06319286414446035
split_conformal_interval,conformal_hist_gradient_boosting,conformal_half_width,0.0401358427287095,0.04013584272870951,4.632285016065548e-17,0.90552,0.08027168545741903,0.08027168545741903
conformal_model_local_residual_iqr,conformal_hist_gradient_boosting,local_residual_iqr,0.016208274864192157,0.014265275625647722,0.45882270083089777,,,
mlp_ensemble_std,mlp_ensemble_mean,ensemble_prediction_std,0.005506391533227135,0.004259003550643485,0.32886140022678156,,,
