method,method_key,distance_col,distance_definition,H0,H0_bootstrap_median,H0_ci16,H0_ci84,H0_ci95_low,H0_ci95_high,n_bootstrap,n
"ordinary least squares, forced through origin",origin,hubble_distance_mpc,local Hubble-distance proxy D_L/(1+z),73.88008629421223,73.9049133878732,73.51546365308297,74.23135384633201,73.17514018842705,74.56242982815053,1000,705
"weighted least squares, forced through origin",weighted_origin,hubble_distance_mpc,local Hubble-distance proxy D_L/(1+z),74.57359167127738,74.56777756159376,74.26625499576149,74.84981453522742,74.0106704277158,75.0860529520751,1000,705
