model,spec_z,pred_z,dz,dz_norm,abs_dz_norm
median_redshift_baseline,0.2132438,0.1209818,-0.09226200000000001,-0.07604572139581509,0.07604572139581509
median_redshift_baseline,0.09155338,0.1209818,0.029428419999999997,0.026960129059377745,0.026960129059377745
median_redshift_baseline,0.1807449,0.1209818,-0.059763099999999986,-0.05061474328620855,0.05061474328620855
median_redshift_baseline,0.07057046,0.1209818,0.05041134,0.04708829720558515,0.04708829720558515
median_redshift_baseline,0.2968643,0.1209818,-0.17588250000000002,-0.1356213599217744,0.1356213599217744
median_redshift_baseline,0.2853311,0.1209818,-0.1643493,-0.12786534146726863,0.12786534146726863
median_redshift_baseline,0.09090348,0.1209818,0.030078320000000006,0.027571935144986435,0.027571935144986435
median_redshift_baseline,0.2665749,0.1209818,-0.1455931,-0.11495024889566342,0.11495024889566342
median_redshift_baseline,0.1047096,0.1209818,0.0162722,0.014729843933645547,0.014729843933645547
median_redshift_baseline,0.1816363,0.1209818,-0.0606545,-0.05133093829294174,0.05133093829294174
median_redshift_baseline,0.02320679,0.1209818,0.09777501,0.09555742881651519,0.09555742881651519
median_redshift_baseline,0.1201504,0.1209818,0.000831399999999996,0.0007422217587923872,0.0007422217587923872
median_redshift_baseline,0.03807754,0.1209818,0.08290426000000001,0.07986326339359968,0.07986326339359968
median_redshift_baseline,0.05701775,0.1209818,0.06396405,0.06051369525251586,0.06051369525251586
median_redshift_baseline,0.068483,0.1209818,0.0524988,0.04913395908030357,0.04913395908030357
median_redshift_baseline,0.09756309,0.1209818,0.023418709999999995,0.021337005784332633,0.021337005784332633
median_redshift_baseline,0.02985963,0.1209818,0.09112217,0.08848018443057137,0.08848018443057137
median_redshift_baseline,0.0778686,0.1209818,0.043113200000000004,0.039998567543390734,0.039998567543390734
median_redshift_baseline,0.2442731,0.1209818,-0.12329129999999999,-0.09908700911399594,0.09908700911399594
median_redshift_baseline,0.2824446,0.1209818,-0.1614628,-0.12590235866718918,0.12590235866718918
median_redshift_baseline,0.2005672,0.1209818,-0.0795854,-0.06628983367195106,0.06628983367195106
median_redshift_baseline,0.05318347,0.1209818,0.06779833,0.06437466208997754,0.06437466208997754
median_redshift_baseline,0.1463906,0.1209818,-0.02540880000000001,-0.022164173362900927,0.022164173362900927
median_redshift_baseline,0.05421501,0.1209818,0.06676678999999999,0.06333318096087437,0.06333318096087437
median_redshift_baseline,0.2516336,0.1209818,-0.1306518,-0.10438502130335908,0.10438502130335908
median_redshift_baseline,0.07555961,0.1209818,0.04542219,0.04223121580402225,0.04223121580402225
median_redshift_baseline,0.08812428,0.1209818,0.03285752,0.030196477189168135,0.030196477189168135
median_redshift_baseline,0.05774637,0.1209818,0.06323543000000001,0.059783169002981314,0.059783169002981314
median_redshift_baseline,0.1022757,0.1209818,0.018706100000000003,0.016970436706533584,0.016970436706533584
median_redshift_baseline,0.1173556,0.1209818,0.003626199999999996,0.003245341053465876,0.003245341053465876
median_redshift_baseline,0.07506555,0.1209818,0.045916250000000006,0.042710186369566035,0.042710186369566035
median_redshift_baseline,0.1104826,0.1209818,0.0104992,0.009454628104933836,0.009454628104933836
median_redshift_baseline,0.04259655,0.1209818,0.07838525,0.07518272528333227,0.07518272528333227
median_redshift_baseline,0.08839864,0.1209818,0.03258316,0.02993678860164691,0.02993678860164691
median_redshift_baseline,0.2864258,0.1209818,-0.165444,-0.1286074952787794,0.1286074952787794
median_redshift_baseline,0.05855372,0.1209818,0.062428080000000004,0.05897488131258941,0.05897488131258941
median_redshift_baseline,0.2154168,0.1209818,-0.09443499999999999,-0.07769762603248531,0.07769762603248531
median_redshift_baseline,0.1776094,0.1209818,-0.0566276,-0.0480869123497146,0.0480869123497146
median_redshift_baseline,0.2077763,0.1209818,-0.0867945,-0.07186305940926313,0.07186305940926313
median_redshift_baseline,0.09264401,0.1209818,0.02833779,0.025935061868869812,0.025935061868869812
median_redshift_baseline,0.1298166,0.1209818,-0.008834800000000004,-0.007819676220016596,0.007819676220016596
median_redshift_baseline,0.05036524,0.1209818,0.07061656,0.06723048070402633,0.06723048070402633
median_redshift_baseline,0.03093971,0.1209818,0.09004209,0.08733982125880088,0.08733982125880088
median_redshift_baseline,0.1381456,0.1209818,-0.017163800000000007,-0.015080495852200285,0.015080495852200285
median_redshift_baseline,0.2090187,0.1209818,-0.0880369,-0.0728168224362452,0.0728168224362452
median_redshift_baseline,0.07457454,0.1209818,0.046407260000000006,0.043186636452414,0.043186636452414
median_redshift_baseline,0.2751965,0.1209818,-0.1542147,-0.12093406780837307,0.12093406780837307
median_redshift_baseline,0.06902713,0.1209818,0.051954669999999994,0.04859995461480944,0.04859995461480944
median_redshift_baseline,0.1076974,0.1209818,0.013284400000000002,0.011992805977516967,0.011992805977516967
median_redshift_baseline,0.16011,0.1209818,-0.0391282,-0.03372800855091328,0.03372800855091328
median_redshift_baseline,0.1434132,0.1209818,-0.02243139999999999,-0.01961792989620899,0.01961792989620899
median_redshift_baseline,0.07751679,0.1209818,0.04346501,0.04033812781701527,0.04033812781701527
median_redshift_baseline,0.09635226,0.1209818,0.024629540000000005,0.02246498766737618,0.02246498766737618
median_redshift_baseline,0.2664115,0.1209818,-0.14542970000000002,-0.11483605447360516,0.11483605447360516
median_redshift_baseline,0.2631393,0.1209818,-0.14215750000000002,-0.11254301089357288,0.11254301089357288
median_redshift_baseline,0.04284165,0.1209818,0.07814014999999999,0.07493002413165988,0.07493002413165988
median_redshift_baseline,0.04957549,0.1209818,0.07140631,0.06803351515001556,0.06803351515001556
median_redshift_baseline,0.08758333,0.1209818,0.03339847,0.030708883704570943,0.030708883704570943
median_redshift_baseline,0.2590334,0.1209818,-0.13805160000000002,-0.10964887825851166,0.10964887825851166
median_redshift_baseline,0.2168358,0.1209818,-0.095854,-0.07877315904085005,0.07877315904085005
median_redshift_baseline,0.07455748,0.1209818,0.046424320000000005,0.043203198399400664,0.043203198399400664
median_redshift_baseline,0.1195395,0.1209818,0.0014422999999999936,0.0012882975544855663,0.0012882975544855663
