rest_line,rest_wavelength,expected_observed_wavelength,measured_observed_wavelength,z_measured,amplitude,sigma_angstrom
[O II] 3727,3727.09,4412.820532549563,4395.713375095889,0.17939555392971163,2.173256491457906,3.019320983130132
[Ne III] 3869,3869.86,4581.858142972735,4586.409550779766,0.18516162103532574,4505.607108570719,828.2089185168483
H-gamma 4341,4340.47,5139.053561066516,5156.449975735117,0.18799346055498978,10.824905605376626,0.31639740059051163
H-beta 4861,4861.33,5755.744250742312,5761.151729785646,0.18509784972129983,0.68145063596095,2.421731077710369
[O III] 4959,4958.91,5871.277556234314,5864.158590764491,0.18254991334073245,1.457243414108167,1.8759150438096668
[O III] 5007,5006.84,5928.025981446773,5944.942401103222,0.18736416604149975,7.595297971390943,0.3520429036122512
