observed_wavelength,line_signal,prominence
6558.433472365191,105.19029498100281,116.07835555076599
6495.31020967171,34.94226312637329,36.314680337905884
8596.070048023752,26.84696674346924,35.58870220184326
4882.025722709517,31.368911385536194,35.534123599529266
5578.276217402844,20.379868388175964,24.53829574584961
8828.765127183395,9.125425577163696,15.30352258682251
5684.600454467784,6.017925262451172,14.853034973144531
5067.571564282532,12.364096522331238,14.557033717632294
8959.83623244713,7.743452072143555,13.77295732498169
8431.405610477948,4.614365339279175,12.517669677734375
6367.953754795697,9.726135969161987,11.261834859848022
7751.7544160151465,4.196090221405029,10.351293802261353
7823.479588816787,3.560746192932129,10.084173917770386
4487.453386919555,6.503117799758911,9.633983731269836
3809.780493551755,6.121348798274994,9.514296293258667
6063.174419814127,2.3314216136932373,9.46626615524292
7794.709367096962,3.3608059883117676,9.249271392822266
8256.576746846682,3.3790290355682373,9.199305534362793
3854.78327192558,5.063693404197693,9.192115008831024
9003.265607536512,4.557208776473999,9.184308886528015
8904.30405269653,2.830756902694702,9.155595064163208
7599.762297144034,3.827475070953369,8.993990659713745
4041.1029109859983,4.272643089294434,8.435681104660034
3901.217047256046,4.160932183265686,8.297819018363953
8505.500956756874,3.9503226280212402,8.145509481430054
3801.8932953144076,8.051224172115326,8.051224172115326
8354.10700983525,3.120361089706421,7.990333676338196
7970.76466085912,2.615539073944092,7.9230711460113525
9051.07339496127,3.8059821128845215,7.575122356414795
3836.1888156580017,3.2813228964805603,7.333093881607056
8885.86991683277,2.613262414932251,7.14267373085022
5193.978126545897,4.662612438201904,6.997130453586578
7841.513263199194,2.791475772857666,6.945993185043335
8847.080796598655,2.557508945465088,6.850371837615967
8466.424555560943,3.7310380935668945,6.792476899921894
7341.755273862644,2.642923355102539,6.763611078262329
3825.6040110108315,4.197878777980804,6.750362873077393
3958.221430630201,3.3240984678268433,6.694303631782532
3876.143859218499,3.4279695749282837,6.603317141532898
8792.247463899379,6.525917053222656,6.5779619216918945
4019.757797484042,2.637898802757263,6.574251174926758
4112.443832205507,3.536428213119507,6.550471782684326
7296.255805520026,1.1929380893707275,6.148088455200195
4380.261073228858,3.1758549213409424,6.084426283836365
8296.597340883269,2.414612054824829,6.041017770767212
3940.9406069231536,2.9347223043441772,5.886830568313599
4097.320648266737,3.5453158617019653,5.828622460365295
5891.149094755168,3.1570630073547363,5.733749017119408
3891.3478103978227,3.9419842958450317,5.450845837593079
5374.028306415092,3.4751808643341064,5.410921968519688
6305.216766583012,3.7060558795928955,5.395481467247009
8621.841651345172,10.268142223358154,5.373513221740723
4076.6184350479375,3.5002163648605347,5.338658452033997
7370.552886337444,2.815911293029785,5.332922726869583
3845.9181582660904,2.9191638827323914,5.314303874969482
4194.691016703665,2.498489022254944,5.077266454696655
9122.20726377395,2.3705742359161377,5.044494152069092
4243.264367608233,2.5008890628814697,4.998555779457092
7714.362000328545,3.4469003677368164,4.951412916183472
8770.00979060919,2.092410087585449,4.882198140025139
7809.083372070966,2.615002155303955,4.840923398733139
5862.731747661751,2.4756112098693848,4.826390936970711
