objid,ra,dec,u,g,r,i,photometric_z,specObjID,redshift,redshift_error,class,spec_z,zmag,u_g,g_r,r_i,i_z,r_mag
1237654605325992170,160.696022829978,4.53112661754195,21.64062,19.96695,18.27928,17.68902,17.30322,649817459041265664,0.01071594,2.295261e-05,GALAXY,0.01071594,17.30322,1.6736699999999978,1.6876700000000007,0.5902600000000007,0.3857999999999997,18.27928
1237664338250760412,170.288237405041,36.6634189173128,18.48555,17.47507,17.06623,16.83587,16.76415,2376926219238139904,0.01074252,1.498706e-05,GALAXY,0.01074252,16.76415,1.0104800000000012,0.40883999999999787,0.230360000000001,0.07171999999999912,17.06623
1237661066024255571,143.463632378872,10.1593718831108,20.6956,19.2839,18.94127,18.78583,18.71644,1468272209905608704,0.01074461,9.40267e-06,GALAXY,0.01074461,18.71644,1.4116999999999997,0.34262999999999977,0.1554399999999987,0.06939000000000206,18.94127
1237664871358267635,135.799119778394,34.8793925465879,18.24632,17.15941,16.73182,16.53708,16.41391,1363484353245505536,0.01076714,1.014687e-05,GALAXY,0.01076714,16.41391,1.0869099999999996,0.42759000000000214,0.19473999999999947,0.12316999999999823,16.73182
1237651191357112369,129.048607865717,50.4189941143307,16.18587,14.6149,13.84539,13.39792,13.05291,501076342381504512,0.01081499,1.307063e-05,GALAXY,0.01081499,13.05291,1.5709700000000009,0.7695100000000004,0.4474700000000009,0.3450099999999985,13.84539
1237655107302654036,178.148322410972,59.0832212564999,17.3748,16.39035,15.92243,15.75011,15.57386,1073022234089515008,0.01083784,6.893696e-06,GALAXY,0.01083784,15.57386,0.9844499999999989,0.4679200000000012,0.17232000000000092,0.17624999999999957,15.92243
1237661972788347062,166.980614205208,8.01003742720181,19.97544,19.045,18.63548,17.87812,17.44378,6038297232712945664,0.01086449,6.031151e-06,GALAXY,0.01086449,17.44378,0.9304399999999973,0.40952000000000055,0.757360000000002,0.43433999999999884,18.63548
1237665226766483526,179.381549921619,32.3397048984487,15.29545,14.69741,14.55898,14.54809,14.38394,2358857120142616576,0.01087709,7.094001e-06,GALAXY,0.01087709,14.38394,0.598040000000001,0.1384299999999996,0.010889999999999844,0.16414999999999935,14.55898
1237661065487843478,144.589053484963,9.89545283827937,18.63783,17.45597,16.9852,16.74545,16.49812,1468318389393975296,0.01093532,7.354188e-06,GALAXY,0.01093532,16.49812,1.1818600000000004,0.4707700000000017,0.23974999999999724,0.2473300000000016,16.9852
1237664870821134672,135.074598119773,34.6740820805862,22.48025,21.54742,21.50731,21.5031,20.89075,5181404660121227264,0.01099218,1.551722e-05,GALAXY,0.01099218,20.89075,0.9328300000000027,0.040109999999998536,0.004210000000000491,0.6123499999999993,21.50731
1237662194532221083,202.490890600469,41.1410814422147,21.39256,19.50597,19.2587,19.74243,19.83295,1648425817371338752,0.0109922,1.076592e-05,GALAXY,0.0109922,19.83295,1.8865899999999982,0.24727000000000032,-0.4837299999999978,-0.09052000000000149,19.2587
1237655108912480385,174.051245552518,59.9765094539061,16.05273,14.5536,13.86814,13.52737,13.2811,3243823535138826240,0.0109964,1.339976e-05,GALAXY,0.0109964,13.2811,1.499130000000001,0.6854599999999991,0.3407700000000009,0.2462699999999991,13.86814
1237665532789523196,223.614208110166,22.977795594188,23.54974,21.947,20.14258,19.27164,18.68758,6778071198066823168,0.01099699,0.0004416292,GALAXY,0.01099699,18.68758,1.6027400000000007,1.8044200000000004,0.8709399999999974,0.5840600000000009,20.14258
1237665227840618585,180.302376024612,33.0500341407619,18.70803,17.43629,16.96286,16.7172,16.58505,2358873337939126272,0.01101797,7.502417e-06,GALAXY,0.01101797,16.58505,1.2717400000000012,0.47343000000000046,0.24566000000000088,0.13214999999999932,16.96286
1237668585971908615,173.964491644152,17.4478891486332,16.90652,15.81932,15.37461,15.12167,15.114,2818279539002599424,0.01102898,1.354277e-05,GALAXY,0.01102898,15.114,1.087200000000001,0.44470999999999883,0.2529400000000006,0.0076699999999991775,15.37461
1237667255087595558,179.803128548542,30.731218511416,15.42941,14.51072,14.23343,14.09035,13.94833,2505240330106857472,0.01104881,1.104783e-05,GALAXY,0.01104881,13.94833,0.9186900000000016,0.2772899999999989,0.14307999999999943,0.14202000000000048,14.23343
1237668495781920963,176.097562477841,17.3113153806131,16.53179,15.3884,14.86634,14.60309,14.34301,2823896669349767168,0.01107665,8.763305e-06,GALAXY,0.01107665,14.34301,1.1433900000000001,0.5220600000000015,0.2632499999999993,0.2600800000000003,14.86634
1237663546909196576,145.872041970892,64.1959501053744,18.89689,17.94981,17.65886,17.54186,17.72716,2013158036662675456,0.01108756,1.069609e-05,GALAXY,0.01108756,17.72716,0.9470799999999997,0.2909499999999987,0.11700000000000088,-0.18530000000000157,17.65886
1237662524697477255,197.548669305941,13.8544778811837,18.93573,17.9846,17.68271,17.5118,17.37655,1995110354790672384,0.01112697,6.894586e-06,GALAXY,0.01112697,17.37655,0.9511299999999991,0.3018900000000002,0.17090999999999923,0.1352499999999992,17.68271
1237658493337796865,144.66784458717,8.13607975808605,17.88885,17.38478,17.18765,17.23134,17.15437,1389450140942624768,0.01115692,4.71776e-06,GALAXY,0.01115692,17.15437,0.5040700000000022,0.1971299999999978,-0.04368999999999801,0.07696999999999932,17.18765
1237661874007376023,163.190362627195,43.9102170790925,21.83113,21.74067,21.83222,22.17359,21.70359,9411496402318807040,0.01120551,8.5197e-06,GALAXY,0.01120551,21.70359,0.0904600000000002,-0.09154999999999802,-0.3413700000000013,0.4700000000000024,21.83222
1237661069796376825,176.183551505404,15.0277704149165,18.97155,17.85239,17.43798,17.26481,17.15007,1982840909351380992,0.01124177,9.068855e-06,GALAXY,0.01124177,17.15007,1.1191600000000008,0.41441000000000017,0.17316999999999894,0.11474000000000117,17.43798
1237658300073050210,163.379881731465,7.46189517210686,17.64645,17.0608,16.89453,16.85056,16.71831,1127185830486501376,0.01128344,5.11833e-06,GALAXY,0.01128344,16.71831,0.5856500000000011,0.1662700000000008,0.043969999999998066,0.13225000000000264,16.89453
1237667735042654281,177.458430400646,22.2145253775254,18.00757,17.11397,16.78309,16.63426,16.49747,2827281790891223040,0.01128493,5.588211e-06,GALAXY,0.01128493,16.49747,0.8936000000000028,0.33087999999999695,0.14883000000000024,0.1367900000000013,16.78309
1237663547439317185,124.416438162625,53.4223224985944,17.9921,17.03579,16.57635,16.37532,16.16222,2005374299325622272,0.01133284,5.883932e-06,GALAXY,0.01133284,16.16222,0.956310000000002,0.4594399999999972,0.20103000000000293,0.21309999999999718,16.57635
1237679477466857626,351.528929617175,21.7799015625406,23.03919,21.79985,21.78602,21.66431,22.69753,8563615974099800064,0.01134216,1.503032e-05,GALAXY,0.01134216,22.69753,1.239340000000002,0.013829999999998677,0.1217100000000002,-1.03322,21.78602
1237663530788389284,111.233903054951,37.7724103648288,18.20782,16.88749,16.37465,16.13762,15.97982,1951253309155207168,0.01139588,1.364657e-05,GALAXY,0.01139588,15.97982,1.320330000000002,0.5128400000000006,0.23703000000000074,0.15779999999999816,16.37465
1237661387605082306,214.52657469894,54.1941886212996,18.91111,17.7264,17.23643,17.21996,17.38983,1491836939236567040,0.01144496,1.613149e-05,GALAXY,0.01144496,17.38983,1.184709999999999,0.4899700000000031,0.01646999999999821,-0.16986999999999952,17.23643
1237667914879271257,174.882405312736,19.2902270665744,18.80081,17.68954,17.52515,17.50849,17.53232,2817008508996708352,0.01144706,6.415861e-06,GALAXY,0.01144706,17.53232,1.1112699999999975,0.16439000000000092,0.016660000000001673,-0.02383000000000024,17.52515
1237667292651389003,136.501229120525,18.7645728982744,16.10758,14.33688,13.42456,12.96124,12.57028,2572721756263442432,0.0114512,6.869895e-06,GALAXY,0.0114512,12.57028,1.770699999999998,0.9123200000000011,0.4633199999999995,0.39095999999999975,13.42456
1237670015118999703,31.3145824886528,6.10291329153514,21.75194,21.12012,21.01426,21.03273,21.05291,4955206528737234944,0.01147798,1.330399e-05,GALAXY,0.01147798,21.05291,0.6318200000000012,0.10585999999999984,-0.018470000000000653,-0.020179999999999865,21.01426
1237660961324859410,129.386268893695,28.7051937888555,15.20009,13.06061,12.22832,11.81017,11.48673,1427680438624741376,0.01157383,7.905839e-06,GALAXY,0.01157383,11.48673,2.139479999999999,0.8322900000000004,0.4181500000000007,0.3234399999999997,12.22832
