# h E_per_node M_abs M C chi Binder
-0.60000000 -3.082488281250 0.972050781250 -0.972050781250 0.309863324217 0.039714648438 0.666557664498
-0.59000000 -1.890316015625 0.972695312500 -0.972695312500 0.210925412850 0.027069531250 0.666592349547
-0.58000000 -1.898008203125 0.972050781250 -0.972050781250 0.398717488242 0.055105273438 0.666516152040
-0.57000000 -1.890163671875 0.969414062500 -0.969414062500 0.270548425351 0.036688281250 0.666564774721
-0.56000000 -1.895432812500 0.972382812500 -0.972382812500 0.193945481875 0.022969531250 0.666603214341
-0.55000000 -1.882837890625 0.970039062500 -0.970039062500 0.287498174804 0.037821093750 0.666562379744
-0.54000000 -1.889246093750 0.968945312500 -0.968945312500 0.305176433593 0.041855468750 0.666550844153
-0.53000000 -1.887772656250 0.969375000000 -0.969375000000 0.326730296719 0.046284375000 0.666538619722
-0.52000000 -1.893750781250 0.969277343750 -0.969277343750 0.326212577969 0.045736523437 0.666540978344
-0.51000000 -1.905424023437 0.969160156250 -0.969160156250 0.333996584560 0.047120898437 0.666536366032
-0.50000000 -1.873232421875 0.966855468750 -0.966855468750 0.388479956055 0.057205273437 0.666508508903
-0.49000000 -1.891445507812 0.967753906250 -0.967753906250 0.291315956046 0.043183398438 0.666546910802
-0.48000000 -1.871853125000 0.963984375000 -0.963984375000 0.341551502500 0.055285937500 0.666512538709
-0.47000000 -1.886919335938 0.967597656250 -0.967597656250 0.302394946982 0.039730273437 0.666556578525
-0.46000000 -1.889303125000 0.968593750000 -0.968593750000 0.315624286875 0.044050000000 0.666544993280
-0.45000000 -1.876292968750 0.967109375000 -0.967109375000 0.271544341797 0.039285937500 0.666557289723
-0.44000000 -1.891675000000 0.967851562500 -0.967851562500 0.315015728750 0.042516406250 0.666548468310
-0.43000000 -1.875710156250 0.965859375000 -0.965859375000 0.356591635781 0.053690625000 0.666517144865
-0.42000000 -1.869090625000 0.963515625000 -0.963515625000 0.419237399062 0.070151562500 0.666471780084
-0.41000000 -1.866410156250 0.963281250000 -0.963281250000 0.362869373047 0.051523437500 0.666522246958
