# h E_per_node M_abs M C chi Binder
0.60000000 -1.863742187500 0.967500000000 0.967500000000 0.312641992630 0.043732142857 0.666539666081
0.59000000 -1.862656250000 0.962890625000 0.962890625000 0.345842196357 0.050706845238 0.666517336163
0.58000000 -1.878091015625 0.964785156250 0.964785156250 0.343254284688 0.053141927083 0.666510826926
0.57000000 -1.881491601563 0.963691406250 0.963691406250 0.346919957580 0.049445498512 0.666521605413
0.56000000 -1.869887500000 0.963945312500 0.963945312500 0.328788784580 0.046220982143 0.666531157998
0.55000000 -1.869095703125 0.962773437500 0.962773437500 0.237653788443 0.037158482143 0.666557489797
0.54000000 -1.856982812500 0.960703125000 0.960703125000 0.354089449547 0.046699404762 0.666528655498
0.53000000 -1.854525976562 0.959785156250 0.959785156250 0.337844483162 0.049668712798 0.666519916028
0.52000000 -1.849802343750 0.959355468750 0.959355468750 0.391663589994 0.054824962798 0.666503681054
0.51000000 -1.862892968750 0.961171875000 0.961171875000 0.300146788690 0.045360119048 0.666532857918
0.50000000 -1.847597656250 0.957929687500 0.957929687500 0.354537893282 0.053921875000 0.666506251742
0.49000000 -1.852642187500 0.958437500000 0.958437500000 0.437433937571 0.067748511905 0.666466392301
0.48000000 -1.854968750000 0.958593750000 0.958593750000 0.404818934240 0.060751488095 0.666486197924
0.47000000 -1.858016210937 0.960332031250 0.960332031250 0.301579707439 0.045635974702 0.666531690275
0.46000000 -1.848196875000 0.955234375000 0.955234375000 0.575244683390 0.094891369048 0.666386260836
0.45000000 -1.853054687500 0.959218750000 0.959218750000 0.361331494472 0.054883928571 0.666503182708
0.44000000 -1.830189843750 0.952402343750 0.952402343750 0.335372824689 0.058246093750 0.666492078846
0.43000000 -1.836033398437 0.953847656250 0.953847656250 0.365547147987 0.062115141369 0.666481086348
0.42000000 -1.842481640625 0.956894531250 0.956894531250 0.313788629926 0.050232700893 0.666517519068
0.41000000 -1.825004492187 0.949277343750 0.949277343750 0.515858689157 0.087368117560 0.666403880258
0.40000000 -1.825976562500 0.948925781250 0.948925781250 0.402189271542 0.068987165179 0.666458310591
0.39000000 -1.836765039062 0.950839843750 0.950839843750 0.328791058417 0.052271391369 0.666509177778
0.38000000 -1.832005468750 0.952851562500 0.952851562500 0.408054465843 0.074517113095 0.666444597369
0.37000000 -1.816165234375 0.945664062500 0.945664062500 0.362358957305 0.078436755952 0.666426856990
0.36000000 -1.832687500000 0.950390625000 0.950390625000 0.453177494330 0.080431547619 0.666422928912
0.35000000 -1.822321289062 0.948261718750 0.948261718750 0.353571085557 0.067205915179 0.666462425333
0.34000000 -1.811306640625 0.945019531250 0.945019531250 0.441482039222 0.081598772321 0.666418477490
0.33000000 -1.833411132812 0.949316406250 0.949316406250 0.375836685756 0.058272879464 0.666490409676
0.32000000 -1.795857812500 0.938105468750 0.938105468750 0.629743706917 0.142771391369 0.666226959248
0.31000000 -1.813398632813 0.946699218750 0.946699218750 0.382023169103 0.078396391369 0.666427291697
0.30000000 -1.814273437500 0.944453125000 0.944453125000 0.540991475339 0.109721726190 0.666330902914
0.29000000 -1.802362890625 0.942617187500 0.942617187500 0.404057537875 0.085408482143 0.666405718759
0.28000000 -1.810509375000 0.943085937500 0.943085937500 0.519786861677 0.120127232143 0.666299242662
0.27000000 -1.800527734375 0.939960937500 0.939960937500 0.786189177615 0.168289434524 0.666149671142
0.26000000 -1.808921484375 0.941464843750 0.941464843750 0.443712640980 0.087665736607 0.666397355292
0.25000000 -1.799907226563 0.940644531250 0.940644531250 0.511321586903 0.096089843750 0.666370273741
0.24000000 -1.787568750000 0.934531250000 0.934531250000 0.529723845805 0.111066964286 0.666322393336
0.23000000 -1.781285937500 0.933750000000 0.933750000000 0.402475791383 0.089571428571 0.666387477653
0.22000000 -1.796160937500 0.934609375000 0.934609375000 0.737935665250 0.229965773810 0.665963041152
0.21000000 -1.784187500000 0.934375000000 0.934375000000 0.564380401433 0.153608630952 0.666195508388
0.20000000 -1.782691406250 0.933964843750 0.933964843750 0.628211943736 0.150918712798 0.666197684305
0.19000000 -1.789493164062 0.935449218750 0.935449218750 0.716201401954 0.197260974702 0.666058350116
0.18000000 -1.769108593750 0.927773437500 0.927773437500 0.346467540958 0.094084077381 0.666367615990
0.17000000 -1.749763085938 0.922089843750 0.922089843750 0.661982728626 0.170494605655 0.666119337559
0.16000000 -1.768814062500 0.924960937500 0.924960937500 0.638938106009 0.157707589286 0.666161673108
0.15000000 -1.744700195312 0.917011718750 0.917011718750 1.002433073581 0.343470796131 0.665564388336
0.14000000 -1.739187500000 0.917187500000 0.917187500000 0.805978039966 0.218712797619 0.665971353322
0.13000000 -1.762019335937 0.921933593750 0.921933593750 0.611778486209 0.199458891369 0.666028894364
0.12000000 -1.767919531250 0.926347656250 0.926347656250 0.452363170493 0.148225260417 0.666198265308
0.11000000 -1.741520898437 0.914394531250 0.914394531250 0.420111737626 0.155098772321 0.666158957954
0.10000000 -1.733523437500 0.907890625000 0.907890625000 0.558054230443 0.193516369048 0.666024969782
0.09000000 -1.734248632812 0.908535156250 0.908535156250 0.633420782765 0.308819010417 0.665656831519
0.08000000 -1.722890625000 0.909667968750 0.909667968750 0.562738945579 0.172223772321 0.666100242481
0.07000000 -1.727125976562 0.907324218750 0.907324218750 0.699657552748 0.282863653274 0.665750747067
0.06000000 -1.715693359375 0.902832031250 0.902832031250 0.767688430945 0.327655319940 0.665567621248
0.05000000 -1.705067382813 0.897832031250 0.897832031250 0.688166980894 0.343106212798 0.665522507604
0.04000000 -1.692495312500 0.890507812500 0.890507812500 0.554829841836 0.225923363095 0.665890484457
0.03000000 -1.704495312500 0.895937500000 0.895937500000 0.834724090703 0.378797619048 0.665391403204
0.02000000 -1.662917187500 0.868515625000 0.868515625000 0.818355590136 0.567071428571 0.664659239868
0.01000000 -1.693711328125 0.892617187500 0.892617187500 0.993898060126 0.496465029762 0.665001750087
0.00000000 -1.683085937500 0.886660156250 0.886660156250 1.029666595805 0.442316034226 0.665156637370
-0.01000000 -1.644258593750 0.855390625000 0.855390625000 0.866162101261 0.774959821429 0.663840805175
-0.02000000 -1.608507031250 0.836367187500 0.836367187500 1.217965033872 1.036814732143 0.662648733776
-0.03000000 -1.613002539063 0.841972656250 0.841972656250 0.523018827691 0.496097284226 0.664773487413
-0.04000000 -1.783435156250 0.902285156250 -0.902285156250 0.494933346231 0.239079427083 0.665876409411
-0.05000000 -1.707939453125 0.900585937500 -0.900585937500 0.606016400050 0.268210565476 0.665775995784
-0.06000000 -1.724219531250 0.904960937500 -0.904960937500 0.773410324406 0.300417410714 0.665671741548
-0.07000000 -1.703739648438 0.896894531250 -0.896894531250 0.542772502932 0.180070498512 0.666054363241
-0.08000000 -1.725484375000 0.907910156250 -0.907910156250 0.554750510204 0.259165736607 0.665838611903
